GIS_ID,FACILITY,NAME,TYPE,SHAPE_Area,FEAT_ID,OBJECTID,GLOBALID,SHAPE_Length
99047,0,A5,SALT POND,26871944.9782678,65,58,{625BDBE4-7859-4D39-A00F-4C44CA2DCB36},36601.2121659784
99048,0,A7,SALT POND,11097927.034681,66,59,{DBBBD592-11B2-435D-B7F8-026D6B849EC9},19610.2493524684
99039,0,A16,SALT POND,10478632.750638,67,60,{6367B709-059D-48DC-B537-36D055C182A6},21524.4997512659
99040,0,A17,SALT POND,5672335.76248247,68,61,{78CA487E-0B9A-417D-ABFB-E5448CFAB864},12940.7399611121
99056,0,A6,SALT POND,15642024.2761175,69,62,{7BD5FCCC-BCC9-4DD7-9F23-9F4B8A8CEA65},17818.5299485065
92520,9252,GUADALUPE PONDS,PERCOLATION POND,266137.621993991,70,63,{2755BA7A-6002-417F-B331-FB6E982B9D14},2520.78840246576
92520,9252,GUADALUPE PONDS,PERCOLATION POND,187616.077510485,71,64,{1766ECF9-4C41-41F1-9DC5-A6976812686B},2255.09999274215
92480,9248,COYOTE PERC POND,PERCOLATION POND,1602613.56594617,72,65,{C20055AB-BBD8-4BE8-9C2D-244E4BC0D535},12368.9370184265
92440,9244,CHURCH AVENUE PONDS,PERCOLATION POND,199200.275746556,73,66,{2633135C-02D1-4FE7-B0F5-A06F7EC5F527},2001.73107941314
92440,9244,CHURCH AVENUE PONDS,PERCOLATION POND,508864.479700839,74,67,{7249A174-6316-414C-9EB0-999F8C92F329},3743.53697453762
92570,9257,MCGLINCY PONDS,PERCOLATION POND,4540.18746620408,75,68,{5FEA1A47-B6AB-42D6-AE3C-DE0432EFB46A},425.091314608981
92570,9257,MCGLINCY PONDS,PERCOLATION POND,57218.5335047882,76,69,{9BBAC4D2-E349-4404-B1EB-A2BFB6B56DD8},1046.01531490215
92570,9257,MCGLINCY PONDS,PERCOLATION POND,18797.8764509243,77,70,{C12FA94C-FE1D-4439-9AD8-9B82BFD3C767},565.044329048672
92570,9257,MCGLINCY PONDS,PERCOLATION POND,75716.6862539494,78,71,{9E1A54E6-3279-40DD-8B46-04573CB91937},1207.50349144303
92570,9257,MCGLINCY PONDS,PERCOLATION POND,108670.95556023,79,72,{96EBA045-A0E5-4AE2-B842-67C857EBE22C},1306.33164892053
92570,9257,MCGLINCY PONDS,PERCOLATION POND,53577.6799892111,80,73,{80FDA978-1B84-44B8-8CAF-C28561988B14},1389.60210155856
92690,9269,SUNNYOAKS PONDS,PERCOLATION POND,6398.64925666446,81,74,{AC046B90-310C-4778-964E-2AC2B52F6CE1},369.285598166719
92690,9269,SUNNYOAKS PONDS,PERCOLATION POND,19377.7970395618,82,75,{27081D2D-F326-40BC-80C8-17747D71F4E2},630.796215715201
92690,9269,SUNNYOAKS PONDS,PERCOLATION POND,28640.7343126441,83,76,{238B71B8-0EEA-4E65-BAD1-253F25F9A5F4},730.102762754066
99059,0,SUNNYVALE WPCP WEST POND,SALT POND,12349886.2763541,102,77,{29675E6B-6D16-4F2C-907D-0AA6CCA6666C},15431.1117588
99058,0,SUNNYVALE WPCP EAST POND,SALT POND,4028757.04611961,103,78,{F84E60F8-8B58-463D-9E44-C9B0DDD71688},8854.22577734869
99031,0,A,SALT POND,1699439.966947,104,79,{DEB33481-382C-4A42-916D-99D8525DD592},17708.0500801325
99055,0,CRITTENDEN MARSH,SALT POND,6941603.76912922,105,80,{BC29B2D6-3032-47BB-A476-2D06950E54C4},19564.2758609833
99054,0,CHARLESTON SLOUGH,SALT POND,4527053.89663492,106,81,{7C62D9A9-7F51-4A77-8B5A-79AAF03603D3},13128.3859102454
99060,0,TRIANGLE MARSH,SALT POND,3330997.37548836,108,82,{05C8087B-1C5B-48F8-95E6-D74339387C88},22206.124759424
99057,0,NEW CHICAGO MARSH,SALT POND,555255.932505663,109,83,{FE4CFCF6-2D4D-42E7-A954-A88485C7F5B1},4475.47314424683
99057,0,NEW CHICAGO MARSH,SALT POND,153721.301068257,110,84,{2ABB6344-072F-4ED4-94F0-A0F9E408B739},1664.20143828136
99057,0,NEW CHICAGO MARSH,SALT POND,237698.975147942,111,85,{F1262424-D256-49C4-B83C-267E7EC47D10},13496.4641815525
99057,0,NEW CHICAGO MARSH,SALT POND,166340.705964699,112,86,{D28AD508-2C5A-44EE-B56B-F12FE423DF09},4375.66884280377
99057,0,NEW CHICAGO MARSH,SALT POND,504.548343845305,113,87,{4610575B-0A72-4739-975F-44503EEB46DA},131.873099639975
99057,0,NEW CHICAGO MARSH,SALT POND,5816866.19220023,114,88,{50BA2B99-3B67-464D-8396-9B8EF5078DA4},39187.7977426575
99057,0,NEW CHICAGO MARSH,SALT POND,6988.69653195959,115,89,{C08A4B71-1BBC-4A5F-9147-9B18A853F5B9},607.587766926693
99057,0,NEW CHICAGO MARSH,SALT POND,460.011895678367,116,90,{17825DDB-3DE7-4A8F-9109-5705EFCD5C04},134.562290121156
99057,0,NEW CHICAGO MARSH,SALT POND,7833.22200296589,117,91,{76D13BC4-E108-4513-AFD3-630806442994},500.095788763399
99057,0,NEW CHICAGO MARSH,SALT POND,757.357511697646,118,92,{7EE36D74-FD71-44C0-B2FA-486A40C414CC},126.965309865426
99057,0,NEW CHICAGO MARSH,SALT POND,4090.83193167442,119,93,{2E42DC79-CFA0-434B-995B-A9012E690628},434.714930173799
99057,0,NEW CHICAGO MARSH,SALT POND,24161.2310399052,120,94,{FBA1F660-66DE-4F25-92ED-A4FF2EA2A909},718.00749857186
99057,0,NEW CHICAGO MARSH,SALT POND,114354.58176893,121,95,{6632D3D8-CE67-4E89-919E-7BFE04328963},2214.64812797492
99057,0,NEW CHICAGO MARSH,SALT POND,369069.854583541,122,96,{E14E78C6-A382-49DF-9009-0BCDFB74F686},14789.5224038712
99057,0,NEW CHICAGO MARSH,SALT POND,8064216.76191836,123,97,{6C12E714-B060-4996-88B4-99DFCAFB04E3},39155.7931465784
99028,0,19,SALT POND,11726808.5261505,124,98,{24459452-EBEA-49EA-BFB5-39A7F917A98B},16538.784999037
99030,0,21,SALT POND,6594356.23273918,125,99,{5291BE82-8842-416F-8270-37005A133602},10887.0722758627
99029,0,20,SALT POND,2810530.28671405,126,100,{B07B608E-1F55-45B6-B6BD-EC7A09915B6B},7147.04770629573
99052,0,AB1,SALT POND,6148891.54571784,127,101,{8404DBD8-63B6-47DC-B7A1-1E125EEABC45},15088.4821028199
99053,0,AB2,SALT POND,7144236.35623983,128,102,{4DC45D9B-A9FF-4A1D-AC32-5719532E0A0D},21971.2429151627
92690,9269,SUNNYOAKS PONDS,PERCOLATION POND,29741.9459464105,129,103,{1289AF85-CFF4-43E1-A670-85AC0A79339C},747.722357425107
92600,9260,PAGE PONDS,PERCOLATION POND,67177.2614765693,130,104,{650600A7-FE29-404F-83F1-60C2967C7D79},1346.72038891239
